loss,precision,recall,val_loss,val_precision,val_recall
0.33261555433273315,0.022749189287424088,0.029075458645820618,0.2981385886669159,0.08006042242050171,3.748658855329268e-05
0.26877328753471375,0.3229166567325592,3.6390615605341736e-06,0.2421862632036209,0.0,0.0
0.21805432438850403,0.3333333432674408,3.5244821106061863e-07,0.19559995830059052,0.0,0.0
0.17596891522407532,0.0,0.0,0.1570642590522766,0.0,0.0
0.1414034515619278,0.27889734506607056,0.0003131320991087705,0.1255272626876831,0.0,0.0
0.11327312886714935,0.0,0.0,0.10002034902572632,0.0,0.0
0.0907009020447731,0.0,0.0,0.07959888875484467,0.0,0.0
0.07276520878076553,0.0,0.0,0.06340957432985306,0.0,0.0
0.058665931224823,0.0,0.0,0.050712235271930695,0.0,0.0
0.04768162593245506,0.0,0.0,0.04080221429467201,0.0,0.0
0.03922979161143303,0.22274881601333618,1.1042101505154278e-05,0.03316642716526985,0.0,0.0
0.03279247134923935,0.0,0.0,0.027338597923517227,0.0,0.0
0.02795274741947651,0.0,0.0,0.022928688675165176,0.0,0.0
0.024320684373378754,0.45030710101127625,0.0009472320671193302,0.08377604931592941,0.16382655501365662,0.7601279020309448
0.01918664760887623,0.7389863133430481,0.03795988857746124,0.10507708042860031,0.33956074714660645,0.44607728719711304
0.014309188351035118,0.8529158234596252,0.3206617534160614,0.034344352781772614,0.5737098455429077,0.7455809116363525
0.011147505603730679,0.8951743245124817,0.5222652554512024,0.011277568526566029,0.7285224199295044,0.6804640889167786
0.008908559568226337,0.9185402393341064,0.6164182424545288,0.008654932491481304,0.8232259750366211,0.5438300371170044
0.007209904491901398,0.9347051978111267,0.6863561868667603,0.007879380136728287,0.8207434415817261,0.47501158714294434
0.0058446587063372135,0.9485058188438416,0.7340423464775085,0.007063609082251787,0.8015525341033936,0.5136493444442749
0.004782216157764196,0.9595897793769836,0.7760066986083984,0.007210434414446354,0.726714015007019,0.6514198780059814
0.004027069546282291,0.9640880823135376,0.8026032447814941,0.008547535166144371,0.7312179207801819,0.6758956909179688
0.003398334141820669,0.9689099788665771,0.8209745287895203,0.006120533216744661,0.8403581380844116,0.4841928780078888
0.002878298284485936,0.9708139300346375,0.8420737385749817,0.006943359971046448,0.7351275682449341,0.6617264151573181
0.0024755324702709913,0.9746370315551758,0.8563553094863892,0.006718714255839586,0.7931028604507446,0.6227421164512634
