loss,precision,recall,val_loss,val_precision,val_recall
0.021131109,0.055805497,0.010893692,0.016089346,0.018530151,0.000167309
0.011879391,0.672292352,0.001020491,0.007280109,0.812616825,0.012349308
0.006651889,0.853476703,0.245617524,0.005342992,0.835915625,0.571470559
0.003971513,0.886184216,0.573246062,0.002623861,0.80244478,0.457156211
0.00233471,0.907506585,0.661470354,0.003715398,0.885603452,0.54958021
0.001962232,0.926240325,0.721008301,0.002640448,0.819269598,0.51835984
0.001533603,0.942972124,0.780869424,0.00267639,0.864917219,0.423342228
0.001208239,0.954267204,0.805564582,0.00325264,0.870091081,0.315784812
0.001071111,0.961948872,0.829977512,0.002527722,0.858566821,0.524197221
0.000976639,0.966586113,0.840195179,0.002841256,0.80420804,0.587707758
0.00092099,0.969711661,0.850731432,0.003684722,0.896451712,0.378473014
0.000787032,0.974703729,0.869161546,0.003087364,0.78243506,0.658762455
0.000787709,0.974889636,0.873987973,0.00340035,0.773778319,0.692106128
0.00073572,0.976490796,0.877103627,0.003281847,0.82913506,0.569125831
0.000651981,0.978843153,0.890620947,0.003219698,0.854597545,0.76146028
0.000672933,0.978419602,0.887746036,0.003343152,0.945025718,0.543279535
0.000619502,0.979674101,0.89436698,0.003507682,0.934957302,0.725876188
0.000607081,0.980713606,0.897028446,0.004284686,0.869584477,0.614310598
0.000550847,0.982354403,0.902632892,0.004871061,0.906479752,0.580761975
0.000566323,0.981437087,0.904047906,0.003732357,0.874773717,0.700183845
0.000480474,0.984542847,0.915991962,0.004765283,0.850218034,0.829268432
0.000543428,0.982196689,0.908598959,0.004442167,0.848249769,0.882794714
0.000480232,0.98484236,0.916036606,0.004737704,0.848533547,0.816426849
0.00050039,0.983341813,0.91326952,0.004057996,0.862192488,0.79451654
0.000481611,0.983802795,0.914583564,0.004162513,0.887774444,0.798200583
